label,folder_rel,file_name,rel_path,width,height,mode,aspect_ratio,area,outlier_reason
inaction,inaction/(11),0_im1.jpg,inaction/(11)/0_im1.jpg,63,161,RGB,0.391304347826087,10143,small_width
inaction,inaction/(4),0_im1.jpg,inaction/(4)/0_im1.jpg,53,110,RGB,0.4818181818181818,5830,small_width
inaction,inaction/(4),0_im2.jpg,inaction/(4)/0_im2.jpg,54,111,RGB,0.4864864864864865,5994,small_width
inaction,inaction/(4),0_im3.jpg,inaction/(4)/0_im3.jpg,54,111,RGB,0.4864864864864865,5994,small_width
inaction,inaction/(4),0_im4.jpg,inaction/(4)/0_im4.jpg,54,112,RGB,0.48214285714285715,6048,small_width
inaction,inaction/(4),0_im5.jpg,inaction/(4)/0_im5.jpg,52,113,RGB,0.46017699115044247,5876,small_width
inaction,inaction/(4),0_im6.jpg,inaction/(4)/0_im6.jpg,54,114,RGB,0.47368421052631576,6156,small_width
inaction,inaction/(4),0_im7.jpg,inaction/(4)/0_im7.jpg,54,109,RGB,0.4954128440366973,5886,small_width
inaction,inaction/(4),1_im1.jpg,inaction/(4)/1_im1.jpg,54,109,RGB,0.4954128440366973,5886,small_width
inaction,inaction/(4),1_im8.jpg,inaction/(4)/1_im8.jpg,63,113,RGB,0.5575221238938053,7119,small_width
inaction,inaction/(4),2_im1.jpg,inaction/(4)/2_im1.jpg,56,114,RGB,0.49122807017543857,6384,small_width
inaction,inaction/(4),2_im2.jpg,inaction/(4)/2_im2.jpg,59,113,RGB,0.5221238938053098,6667,small_width
inaction,inaction/(4),2_im3.jpg,inaction/(4)/2_im3.jpg,60,113,RGB,0.5309734513274337,6780,small_width
inaction,inaction/(4),2_im4.jpg,inaction/(4)/2_im4.jpg,60,114,RGB,0.5263157894736842,6840,small_width
inaction,inaction/(4),2_im5.jpg,inaction/(4)/2_im5.jpg,59,111,RGB,0.5315315315315315,6549,small_width
inaction,inaction/(4),2_im6.jpg,inaction/(4)/2_im6.jpg,51,113,RGB,0.45132743362831856,5763,small_width
inaction,inaction/(4),2_im7.jpg,inaction/(4)/2_im7.jpg,54,113,RGB,0.4778761061946903,6102,small_width
inaction,inaction/(4),2_im8.jpg,inaction/(4)/2_im8.jpg,54,113,RGB,0.4778761061946903,6102,small_width
inaction,inaction/692,im1.jpg,inaction/692/im1.jpg,48,123,RGB,0.3902439024390244,5904,small_width
inaction,inaction/692,im2.jpg,inaction/692/im2.jpg,47,125,RGB,0.376,5875,small_width
inaction,inaction/692,im3.jpg,inaction/692/im3.jpg,48,121,RGB,0.39669421487603307,5808,small_width
inaction,inaction/692,im4.jpg,inaction/692/im4.jpg,47,121,RGB,0.3884297520661157,5687,small_width
inaction,inaction/692,im5.jpg,inaction/692/im5.jpg,46,119,RGB,0.3865546218487395,5474,small_width
inaction,inaction/692,im6.jpg,inaction/692/im6.jpg,48,121,RGB,0.39669421487603307,5808,small_width
inaction,inaction/692,im7.jpg,inaction/692/im7.jpg,48,121,RGB,0.39669421487603307,5808,small_width
inaction,inaction/692,im8.jpg,inaction/692/im8.jpg,49,121,RGB,0.4049586776859504,5929,small_width
inaction,inaction/tr_21312312,im000095_00-25-38.jpg,inaction/tr_21312312/im000095_00-25-38.jpg,47,122,RGB,0.38524590163934425,5734,small_width
inaction,inaction/tr_21312312,im000096_00-25-38.jpg,inaction/tr_21312312/im000096_00-25-38.jpg,47,122,RGB,0.38524590163934425,5734,small_width
inaction,inaction/tr_21312312,im000097_00-25-38.jpg,inaction/tr_21312312/im000097_00-25-38.jpg,47,122,RGB,0.38524590163934425,5734,small_width
inaction,inaction/tr_21312312,im000098_00-25-38.jpg,inaction/tr_21312312/im000098_00-25-38.jpg,47,122,RGB,0.38524590163934425,5734,small_width
inaction,inaction/tr_21312312,im000099_00-25-39.jpg,inaction/tr_21312312/im000099_00-25-39.jpg,45,122,RGB,0.36885245901639346,5490,small_width
inaction,inaction/tr_21312312,im000100_00-25-39.jpg,inaction/tr_21312312/im000100_00-25-39.jpg,45,122,RGB,0.36885245901639346,5490,small_width
inaction,inaction/tr_21312312,im000101_00-25-39.jpg,inaction/tr_21312312/im000101_00-25-39.jpg,47,122,RGB,0.38524590163934425,5734,small_width
inaction,inaction/tr_21312312,im000102_00-25-39.jpg,inaction/tr_21312312/im000102_00-25-39.jpg,47,122,RGB,0.38524590163934425,5734,small_width
inaction,inaction/tr_21312312,im000103_00-25-39.jpg,inaction/tr_21312312/im000103_00-25-39.jpg,46,122,RGB,0.3770491803278688,5612,small_width
inaction,inaction/tr_21312312,im000104_00-25-39.jpg,inaction/tr_21312312/im000104_00-25-39.jpg,46,122,RGB,0.3770491803278688,5612,small_width
inaction,inaction/tr_21312312,im000105_00-25-39.jpg,inaction/tr_21312312/im000105_00-25-39.jpg,46,122,RGB,0.3770491803278688,5612,small_width
inaction,inaction/tr_21312312,im000106_00-25-39.jpg,inaction/tr_21312312/im000106_00-25-39.jpg,46,122,RGB,0.3770491803278688,5612,small_width
inaction,inaction/tr_21312312,im000107_00-25-39.jpg,inaction/tr_21312312/im000107_00-25-39.jpg,47,121,RGB,0.3884297520661157,5687,small_width
inaction,inaction/tr_21312312,im000108_00-25-39.jpg,inaction/tr_21312312/im000108_00-25-39.jpg,47,121,RGB,0.3884297520661157,5687,small_width
inaction,inaction/tr_21312312,im000109_00-25-39.jpg,inaction/tr_21312312/im000109_00-25-39.jpg,46,122,RGB,0.3770491803278688,5612,small_width
inaction,inaction/tr_21312312,im000110_00-25-39.jpg,inaction/tr_21312312/im000110_00-25-39.jpg,47,122,RGB,0.38524590163934425,5734,small_width
inaction,inaction/tr_21312312,im000111_00-25-40.jpg,inaction/tr_21312312/im000111_00-25-40.jpg,45,122,RGB,0.36885245901639346,5490,small_width
inaction,inaction/tr_21312312,im000112_00-25-40.jpg,inaction/tr_21312312/im000112_00-25-40.jpg,45,122,RGB,0.36885245901639346,5490,small_width
inaction,inaction/tr_21312312,im000113_00-25-40.jpg,inaction/tr_21312312/im000113_00-25-40.jpg,45,122,RGB,0.36885245901639346,5490,small_width
inaction,inaction/tr_21312312,im000114_00-25-40.jpg,inaction/tr_21312312/im000114_00-25-40.jpg,45,121,RGB,0.371900826446281,5445,small_width
inaction,inaction/tr_21312312,im000115_00-25-40.jpg,inaction/tr_21312312/im000115_00-25-40.jpg,46,122,RGB,0.3770491803278688,5612,small_width
inaction,inaction/tr_21312312,im000116_00-25-40.jpg,inaction/tr_21312312/im000116_00-25-40.jpg,51,122,RGB,0.4180327868852459,6222,small_width
inaction,inaction/tr_21312312,im000117_00-25-40.jpg,inaction/tr_21312312/im000117_00-25-40.jpg,52,121,RGB,0.4297520661157025,6292,small_width
inaction,inaction/tr_21312312,im000118_00-25-40.jpg,inaction/tr_21312312/im000118_00-25-40.jpg,51,122,RGB,0.4180327868852459,6222,small_width
inaction,inaction/tr_21312312,im000119_00-25-40.jpg,inaction/tr_21312312/im000119_00-25-40.jpg,52,122,RGB,0.4262295081967213,6344,small_width
inaction,inaction/tr_21312312,im000120_00-25-40.jpg,inaction/tr_21312312/im000120_00-25-40.jpg,50,122,RGB,0.4098360655737705,6100,small_width
inaction,inaction/tr_21312312,im000121_00-25-40.jpg,inaction/tr_21312312/im000121_00-25-40.jpg,53,122,RGB,0.4344262295081967,6466,small_width
inaction,inaction/tr_21312312,im000122_00-25-40.jpg,inaction/tr_21312312/im000122_00-25-40.jpg,57,123,RGB,0.4634146341463415,7011,small_width
inaction,inaction/tr_21312312,im000123_00-25-41.jpg,inaction/tr_21312312/im000123_00-25-41.jpg,51,122,RGB,0.4180327868852459,6222,small_width
inaction,inaction/tr_21312312,im000124_00-25-41.jpg,inaction/tr_21312312/im000124_00-25-41.jpg,53,122,RGB,0.4344262295081967,6466,small_width
inaction,inaction/tr_21312312,im000125_00-25-41.jpg,inaction/tr_21312312/im000125_00-25-41.jpg,54,122,RGB,0.4426229508196721,6588,small_width
inaction,inaction/tr_21312312,im000126_00-25-41.jpg,inaction/tr_21312312/im000126_00-25-41.jpg,55,123,RGB,0.44715447154471544,6765,small_width
inaction,inaction/tr_21312312,im000127_00-25-41.jpg,inaction/tr_21312312/im000127_00-25-41.jpg,53,123,RGB,0.43089430894308944,6519,small_width
inaction,inaction/tr_21312312,im000128_00-25-41.jpg,inaction/tr_21312312/im000128_00-25-41.jpg,51,123,RGB,0.4146341463414634,6273,small_width
inaction,inaction/tr_21312312,im000129_00-25-41.jpg,inaction/tr_21312312/im000129_00-25-41.jpg,50,123,RGB,0.4065040650406504,6150,small_width
inaction,inaction/tr_21312312,im000130_00-25-41.jpg,inaction/tr_21312312/im000130_00-25-41.jpg,49,122,RGB,0.4016393442622951,5978,small_width
inaction,inaction/tr_21312312,im000131_00-25-41.jpg,inaction/tr_21312312/im000131_00-25-41.jpg,47,121,RGB,0.3884297520661157,5687,small_width
inaction,inaction/tr_21312312,im000132_00-25-41.jpg,inaction/tr_21312312/im000132_00-25-41.jpg,50,121,RGB,0.4132231404958678,6050,small_width
inaction,inaction/tr_21312312,im000133_00-25-41.jpg,inaction/tr_21312312/im000133_00-25-41.jpg,54,121,RGB,0.4462809917355372,6534,small_width
inaction,inaction/tr_21312312,im000134_00-25-41.jpg,inaction/tr_21312312/im000134_00-25-41.jpg,61,122,RGB,0.5,7442,small_width
inaction,inaction/tr_21312312,im000135_00-25-42.jpg,inaction/tr_21312312/im000135_00-25-42.jpg,62,122,RGB,0.5081967213114754,7564,small_width
inaction,inaction/tr_21312312,im000139_00-25-42.jpg,inaction/tr_21312312/im000139_00-25-42.jpg,60,122,RGB,0.4918032786885246,7320,small_width
inaction,inaction/tr_21312312,im000140_00-25-42.jpg,inaction/tr_21312312/im000140_00-25-42.jpg,60,122,RGB,0.4918032786885246,7320,small_width
inaction,inaction/tr_21312312,im000141_00-25-42.jpg,inaction/tr_21312312/im000141_00-25-42.jpg,61,122,RGB,0.5,7442,small_width
inaction,inaction/tr_21312312,im000142_00-25-42.jpg,inaction/tr_21312312/im000142_00-25-42.jpg,60,122,RGB,0.4918032786885246,7320,small_width
inaction,inaction/tr_21312312,im000143_00-25-42.jpg,inaction/tr_21312312/im000143_00-25-42.jpg,61,122,RGB,0.5,7442,small_width
inaction,inaction/tr_21312312,im000144_00-25-42.jpg,inaction/tr_21312312/im000144_00-25-42.jpg,60,122,RGB,0.4918032786885246,7320,small_width
inaction,inaction/tr_21312312,im000145_00-25-42.jpg,inaction/tr_21312312/im000145_00-25-42.jpg,60,122,RGB,0.4918032786885246,7320,small_width
inaction,inaction/tr_21312312,im000146_00-25-42.jpg,inaction/tr_21312312/im000146_00-25-42.jpg,61,122,RGB,0.5,7442,small_width
