label,folder_rel,frame_count,dominant_time_token,time_token_count,has_filename_time,unique_time_tokens,folder_mtime
inaction,inaction/(1),14,05-35-11,14,True,1,1780249940.0
inaction,inaction/(10),32,,0,False,0,1780321364.0
inaction,inaction/(11),16,,0,False,0,1780321364.0
inaction,inaction/(12),16,,0,False,0,1780322624.0
inaction,inaction/(13),16,,0,False,0,1780322682.0
inaction,inaction/(14),98,00-37-17,12,True,9,1780332078.0
inaction,inaction/(2),66,00-54-53,12,True,8,1780249650.0
inaction,inaction/(3),128,,0,False,0,1780321364.0
inaction,inaction/(4),24,,0,False,0,1780321364.0
inaction,inaction/(5),16,,0,False,0,1780321364.0
inaction,inaction/(6),24,,0,False,0,1780321364.0
inaction,inaction/(7),144,,0,False,0,1780321364.0
inaction,inaction/(8),32,,0,False,0,1780321364.0
inaction,inaction/(9),64,,0,False,0,1780321364.0
inaction,inaction/14,8,,0,False,0,1779731418.0
inaction,inaction/146,8,,0,False,0,1779731418.0
inaction,inaction/32,8,,0,False,0,1779731418.0
inaction,inaction/692,8,,0,False,0,1779731418.0
inaction,inaction/tr_00012321,120,01-31-54,30,True,5,1779731370.0
inaction,inaction/tr_004_1,18,01-33-56,18,True,1,1779731370.0
inaction,inaction/tr_21312312,426,00-25-39,12,True,37,1779731370.0
inaction,inaction/tr_9991,1655,00-28-58,12,True,145,1780322310.0
inaction,inaction/tr_in_12454124,180,02-30-58,30,True,7,1779731372.0
inaction,inaction/tr_in_231242,250,09-34-19,30,True,10,1779731372.0
inaction,inaction/tr_in_41245124,98,01-30-42,20,True,8,1779731372.0
inaction,inaction/track_000005,37,00-00-22,12,True,4,1779731366.0
inaction,inaction/track_00003312321,34,01-35-43,20,True,4,1779731366.0
inaction,inaction/track_000052,66,00-03-05,12,True,7,1779731366.0
inaction,inaction/track_000130,98,00-06-11,12,True,9,1779731366.0
inaction,inaction/track_00028213213,525,03-33-51,30,True,22,1780322504.0
inaction,inaction/track_000306,28,00-17-31,12,True,3,1779731366.0
inaction,inaction/track_000451,47,00-28-24,12,True,5,1779731366.0
inaction,inaction/track_000458,29,00-29-02,12,True,4,1779731366.0
inaction,inaction/track_000506,80,00-33-08,12,True,8,1779731366.0
inaction,inaction/track_001148,161,00-34-32,12,True,14,1779731368.0
inaction,inaction/track_001449,31,00-21-32,11,True,5,1779731368.0
move,move/(1),16,,0,False,0,1780321364.0
move,move/(10),16,,0,False,0,1780321364.0
move,move/(11),16,,0,False,0,1780321364.0
move,move/(12),16,,0,False,0,1780321566.0
move,move/(2),16,,0,False,0,1780321364.0
move,move/(3),32,,0,False,0,1780321364.0
move,move/(4),24,,0,False,0,1780321364.0
move,move/(5),48,,0,False,0,1780321364.0
move,move/(6),16,,0,False,0,1780321364.0
move,move/(8),32,,0,False,0,1780321364.0
move,move/(9),16,,0,False,0,1780321364.0
move,move/1030,8,,0,False,0,1779731418.0
move,move/1031,8,,0,False,0,1780323470.0
move,move/1212321fsafsa,68,07-34-51,30,True,4,1779731372.0
move,move/126,8,,0,False,0,1779731420.0
move,move/128,8,,0,False,0,1779731420.0
move,move/129,8,,0,False,0,1779731420.0
move,move/130,8,,0,False,0,1779731420.0
move,move/136,8,,0,False,0,1779731418.0
move,move/144,8,,0,False,0,1779731418.0
move,move/145,8,,0,False,0,1779731418.0
move,move/21,8,,0,False,0,1779731418.0
move,move/21_1,8,,0,False,0,1779731418.0
move,move/22,8,,0,False,0,1779731418.0
move,move/24,8,,0,False,0,1779731418.0
move,move/257,8,,0,False,0,1779731418.0
move,move/26,8,,0,False,0,1779731418.0
move,move/27,8,,0,False,0,1779731418.0
move,move/48,8,,0,False,0,1779731418.0
move,move/95,8,,0,False,0,1779731418.0
move,move/mv_tr_21445009,51,02-31-30,27,True,3,1779731374.0
move,move/tr_2312321,26,07-34-55,13,True,2,1779731378.0
move,move/tr_31245124,67,09-33-10,30,True,3,1779731378.0
move,move/tr_move_21321,40,10-31-11,30,True,3,1779731378.0
move,move/tr_move_2141254125,29,05-31-45,16,True,2,1779731378.0
move,move/tr_rand_21321,9,00-30-15,6,True,2,1779731378.0
move,move/track_000007,79,00-02-05,12,True,9,1780331482.0
move,move/track_000015,28,00-01-40,12,True,3,1779731374.0
move,move/track_000016,30,00-00-38,12,True,4,1779731374.0
move,move/track_00003,23,00-30-56,13,True,2,1779731374.0
move,move/track_000033,71,00-01-14,12,True,7,1779731374.0
move,move/track_000058,35,00-03-05,12,True,4,1779731374.0
move,move/track_000063,16,00-02-01,10,True,2,1779731374.0
move,move/track_00007,11,01-34-05,8,True,2,1779731374.0
move,move/track_000073123213,83,01-36-07,30,True,4,1779731374.0
move,move/track_00011,21,04-33-53,12,True,2,1779731374.0
move,move/track_000111231234,52,02-35-25,30,True,3,1779731374.0
move,move/track_00012,214,01-32-08,30,True,13,1779731374.0
move,move/track_000135,47,00-06-28,12,True,5,1779731374.0
move,move/track_00014,124,01-32-54,29,True,7,1779731376.0
move,move/track_000163,23,00-06-47,12,True,3,1779731376.0
move,move/track_000164124ww,35,03-32-53,20,True,2,1779731376.0
move,move/track_000174,39,00-10-07,12,True,4,1779731376.0
move,move/track_000193,72,00-10-48,12,True,7,1779731376.0
move,move/track_000195,36,00-11-01,12,True,4,1779731376.0
move,move/track_00023,32,06-35-02,27,True,2,1779731376.0
move,move/track_00023mv231,82,04-30-19,30,True,3,1779731376.0
move,move/track_000256,47,00-15-04,12,True,5,1779731376.0
move,move/track_000269,35,00-23-51,12,True,4,1779731376.0
