sample_id,label,folder_rel,sample_kind,group_key,frame_index,rel_path
inaction/(10)::0,inaction,inaction/(10),prefixed_8,0,1,inaction/(10)/0_im1.jpg
inaction/(10)::0,inaction,inaction/(10),prefixed_8,0,2,inaction/(10)/0_im2.jpg
inaction/(10)::0,inaction,inaction/(10),prefixed_8,0,3,inaction/(10)/0_im3.jpg
inaction/(10)::0,inaction,inaction/(10),prefixed_8,0,4,inaction/(10)/0_im4.jpg
inaction/(10)::0,inaction,inaction/(10),prefixed_8,0,5,inaction/(10)/0_im5.jpg
inaction/(10)::0,inaction,inaction/(10),prefixed_8,0,6,inaction/(10)/0_im6.jpg
inaction/(10)::0,inaction,inaction/(10),prefixed_8,0,7,inaction/(10)/0_im7.jpg
inaction/(10)::0,inaction,inaction/(10),prefixed_8,0,8,inaction/(10)/0_im8.jpg
inaction/(10)::1,inaction,inaction/(10),prefixed_8,1,1,inaction/(10)/1_im1.jpg
inaction/(10)::1,inaction,inaction/(10),prefixed_8,1,2,inaction/(10)/1_im2.jpg
inaction/(10)::1,inaction,inaction/(10),prefixed_8,1,3,inaction/(10)/1_im3.jpg
inaction/(10)::1,inaction,inaction/(10),prefixed_8,1,4,inaction/(10)/1_im4.jpg
inaction/(10)::1,inaction,inaction/(10),prefixed_8,1,5,inaction/(10)/1_im5.jpg
inaction/(10)::1,inaction,inaction/(10),prefixed_8,1,6,inaction/(10)/1_im6.jpg
inaction/(10)::1,inaction,inaction/(10),prefixed_8,1,7,inaction/(10)/1_im7.jpg
inaction/(10)::1,inaction,inaction/(10),prefixed_8,1,8,inaction/(10)/1_im8.jpg
inaction/(10)::2,inaction,inaction/(10),prefixed_8,2,1,inaction/(10)/2_im1.jpg
inaction/(10)::2,inaction,inaction/(10),prefixed_8,2,2,inaction/(10)/2_im2.jpg
inaction/(10)::2,inaction,inaction/(10),prefixed_8,2,3,inaction/(10)/2_im3.jpg
inaction/(10)::2,inaction,inaction/(10),prefixed_8,2,4,inaction/(10)/2_im4.jpg
inaction/(10)::2,inaction,inaction/(10),prefixed_8,2,5,inaction/(10)/2_im5.jpg
inaction/(10)::2,inaction,inaction/(10),prefixed_8,2,6,inaction/(10)/2_im6.jpg
inaction/(10)::2,inaction,inaction/(10),prefixed_8,2,7,inaction/(10)/2_im7.jpg
inaction/(10)::2,inaction,inaction/(10),prefixed_8,2,8,inaction/(10)/2_im8.jpg
inaction/(10)::3,inaction,inaction/(10),prefixed_8,3,1,inaction/(10)/3_im1.jpg
inaction/(10)::3,inaction,inaction/(10),prefixed_8,3,2,inaction/(10)/3_im2.jpg
inaction/(10)::3,inaction,inaction/(10),prefixed_8,3,3,inaction/(10)/3_im3.jpg
inaction/(10)::3,inaction,inaction/(10),prefixed_8,3,4,inaction/(10)/3_im4.jpg
inaction/(10)::3,inaction,inaction/(10),prefixed_8,3,5,inaction/(10)/3_im5.jpg
inaction/(10)::3,inaction,inaction/(10),prefixed_8,3,6,inaction/(10)/3_im6.jpg
inaction/(10)::3,inaction,inaction/(10),prefixed_8,3,7,inaction/(10)/3_im7.jpg
inaction/(10)::3,inaction,inaction/(10),prefixed_8,3,8,inaction/(10)/3_im8.jpg
inaction/(11)::0,inaction,inaction/(11),prefixed_8,0,1,inaction/(11)/0_im1.jpg
inaction/(11)::0,inaction,inaction/(11),prefixed_8,0,2,inaction/(11)/0_im2.jpg
inaction/(11)::0,inaction,inaction/(11),prefixed_8,0,3,inaction/(11)/0_im3.jpg
inaction/(11)::0,inaction,inaction/(11),prefixed_8,0,4,inaction/(11)/0_im4.jpg
inaction/(11)::0,inaction,inaction/(11),prefixed_8,0,5,inaction/(11)/0_im5.jpg
inaction/(11)::0,inaction,inaction/(11),prefixed_8,0,6,inaction/(11)/0_im6.jpg
inaction/(11)::0,inaction,inaction/(11),prefixed_8,0,7,inaction/(11)/0_im7.jpg
inaction/(11)::0,inaction,inaction/(11),prefixed_8,0,8,inaction/(11)/0_im8.jpg
inaction/(11)::1,inaction,inaction/(11),prefixed_8,1,1,inaction/(11)/1_im1.jpg
inaction/(11)::1,inaction,inaction/(11),prefixed_8,1,2,inaction/(11)/1_im2.jpg
