label,folder_rel,file_name,rel_path,width,height,mode,aspect_ratio,area
inaction,inaction/(1),im_05-35-11_27.jpg,inaction/(1)/im_05-35-11_27.jpg,242,315,RGB,0.7682539682539683,76230
inaction,inaction/(1),im_05-35-11_28.jpg,inaction/(1)/im_05-35-11_28.jpg,241,315,RGB,0.765079365079365,75915
inaction,inaction/(1),im_05-35-11_29.jpg,inaction/(1)/im_05-35-11_29.jpg,234,313,RGB,0.7476038338658147,73242
inaction,inaction/(1),im_05-35-11_30.jpg,inaction/(1)/im_05-35-11_30.jpg,234,313,RGB,0.7476038338658147,73242
inaction,inaction/(1),im_05-35-11_31.jpg,inaction/(1)/im_05-35-11_31.jpg,222,311,RGB,0.7138263665594855,69042
inaction,inaction/(1),im_05-35-11_32.jpg,inaction/(1)/im_05-35-11_32.jpg,222,337,RGB,0.658753709198813,74814
inaction,inaction/(1),im_05-35-11_33.jpg,inaction/(1)/im_05-35-11_33.jpg,215,313,RGB,0.6869009584664537,67295
inaction,inaction/(1),im_05-35-11_34.jpg,inaction/(1)/im_05-35-11_34.jpg,211,318,RGB,0.6635220125786163,67098
inaction,inaction/(1),im_05-35-11_35.jpg,inaction/(1)/im_05-35-11_35.jpg,205,355,RGB,0.5774647887323944,72775
inaction,inaction/(1),im_05-35-11_36.jpg,inaction/(1)/im_05-35-11_36.jpg,210,354,RGB,0.5932203389830508,74340
inaction,inaction/(1),im_05-35-11_37.jpg,inaction/(1)/im_05-35-11_37.jpg,209,352,RGB,0.59375,73568
inaction,inaction/(1),im_05-35-11_38.jpg,inaction/(1)/im_05-35-11_38.jpg,220,352,RGB,0.625,77440
inaction,inaction/(1),im_05-35-11_39.jpg,inaction/(1)/im_05-35-11_39.jpg,209,358,RGB,0.5837988826815642,74822
inaction,inaction/(1),im_05-35-11_40.jpg,inaction/(1)/im_05-35-11_40.jpg,209,367,RGB,0.5694822888283378,76703
inaction,inaction/(10),0_im1.jpg,inaction/(10)/0_im1.jpg,109,234,RGB,0.4658119658119658,25506
inaction,inaction/(10),0_im2.jpg,inaction/(10)/0_im2.jpg,110,234,RGB,0.4700854700854701,25740
inaction,inaction/(10),0_im3.jpg,inaction/(10)/0_im3.jpg,110,235,RGB,0.46808510638297873,25850
inaction,inaction/(10),0_im4.jpg,inaction/(10)/0_im4.jpg,108,235,RGB,0.4595744680851064,25380
inaction,inaction/(10),0_im5.jpg,inaction/(10)/0_im5.jpg,107,235,RGB,0.4553191489361702,25145
inaction,inaction/(10),0_im6.jpg,inaction/(10)/0_im6.jpg,116,235,RGB,0.49361702127659574,27260
inaction,inaction/(10),0_im7.jpg,inaction/(10)/0_im7.jpg,110,238,RGB,0.46218487394957986,26180
inaction,inaction/(10),0_im8.jpg,inaction/(10)/0_im8.jpg,107,239,RGB,0.4476987447698745,25573
inaction,inaction/(10),1_im1.jpg,inaction/(10)/1_im1.jpg,110,238,RGB,0.46218487394957986,26180
inaction,inaction/(10),1_im2.jpg,inaction/(10)/1_im2.jpg,107,239,RGB,0.4476987447698745,25573
inaction,inaction/(10),1_im3.jpg,inaction/(10)/1_im3.jpg,109,236,RGB,0.461864406779661,25724
inaction,inaction/(10),1_im4.jpg,inaction/(10)/1_im4.jpg,111,237,RGB,0.46835443037974683,26307
inaction,inaction/(10),1_im5.jpg,inaction/(10)/1_im5.jpg,120,238,RGB,0.5042016806722689,28560
inaction,inaction/(10),1_im6.jpg,inaction/(10)/1_im6.jpg,131,235,RGB,0.5574468085106383,30785
inaction,inaction/(10),1_im7.jpg,inaction/(10)/1_im7.jpg,135,232,RGB,0.5818965517241379,31320
inaction,inaction/(10),1_im8.jpg,inaction/(10)/1_im8.jpg,132,233,RGB,0.5665236051502146,30756
inaction,inaction/(10),2_im1.jpg,inaction/(10)/2_im1.jpg,135,232,RGB,0.5818965517241379,31320
inaction,inaction/(10),2_im2.jpg,inaction/(10)/2_im2.jpg,132,233,RGB,0.5665236051502146,30756
inaction,inaction/(10),2_im3.jpg,inaction/(10)/2_im3.jpg,133,231,RGB,0.5757575757575758,30723
inaction,inaction/(10),2_im4.jpg,inaction/(10)/2_im4.jpg,140,227,RGB,0.6167400881057269,31780
inaction,inaction/(10),2_im5.jpg,inaction/(10)/2_im5.jpg,136,226,RGB,0.6017699115044248,30736
inaction,inaction/(10),2_im6.jpg,inaction/(10)/2_im6.jpg,137,227,RGB,0.6035242290748899,31099
inaction,inaction/(10),2_im7.jpg,inaction/(10)/2_im7.jpg,137,226,RGB,0.6061946902654868,30962
inaction,inaction/(10),2_im8.jpg,inaction/(10)/2_im8.jpg,176,229,RGB,0.7685589519650655,40304
inaction,inaction/(10),3_im1.jpg,inaction/(10)/3_im1.jpg,137,226,RGB,0.6061946902654868,30962
inaction,inaction/(10),3_im2.jpg,inaction/(10)/3_im2.jpg,176,229,RGB,0.7685589519650655,40304
inaction,inaction/(10),3_im3.jpg,inaction/(10)/3_im3.jpg,196,229,RGB,0.8558951965065502,44884
inaction,inaction/(10),3_im4.jpg,inaction/(10)/3_im4.jpg,181,230,RGB,0.7869565217391304,41630
inaction,inaction/(10),3_im5.jpg,inaction/(10)/3_im5.jpg,137,224,RGB,0.6116071428571429,30688
inaction,inaction/(10),3_im6.jpg,inaction/(10)/3_im6.jpg,145,225,RGB,0.6444444444444445,32625
inaction,inaction/(10),3_im7.jpg,inaction/(10)/3_im7.jpg,144,224,RGB,0.6428571428571429,32256
inaction,inaction/(10),3_im8.jpg,inaction/(10)/3_im8.jpg,153,226,RGB,0.6769911504424779,34578
